,Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,Popularity,MSRP
0,BMW,10,premium,335.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,26,3916,46135
1,BMW,10,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,28,3916,40650
2,BMW,10,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,36350
3,BMW,10,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,29450
4,BMW,10,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,28,3916,34500
5,BMW,9,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,31200
6,BMW,9,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,26,3916,44100
7,BMW,9,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,39300
8,BMW,9,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,28,3916,36900
9,BMW,8,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,27,3916,37200
10,BMW,8,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,39600
11,BMW,8,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,31500
12,BMW,8,premium,300.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,28,3916,44400
13,BMW,8,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,28,3916,37200
14,BMW,8,premium,230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,31500
15,BMW,8,premium,320.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,convertible,25,3916,48250
16,BMW,8,premium,320.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,28,3916,43550
17,Audi,29,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,24,3105,2000
18,Audi,29,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,24,3105,2000
19,Audi,29,regular,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,20,3105,2000
20,Audi,29,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,24,3105,2000
21,Audi,29,regular,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,sedan,21,3105,2000
22,Audi,28,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,24,3105,2000
23,Audi,28,regular,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,20,3105,2000
24,Audi,28,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,24,3105,2000
25,Audi,28,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,24,3105,2000
26,Audi,28,regular,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,sedan,21,3105,2000
27,Audi,27,regular,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,wagon,21,3105,2000
28,Audi,27,regular,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,sedan,22,3105,2000
29,Audi,27,regular,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,sedan,22,3105,2000
30,Audi,27,regular,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,sedan,22,3105,2000
31,Audi,27,regular,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,wagon,21,3105,2000
32,FIAT,4,premium,160.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,convertible,35,819,27495
33,FIAT,4,premium,160.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,convertible,35,819,24995
34,FIAT,4,premium,160.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,convertible,35,819,28195
35,Mercedes-Benz,30,regular,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,sedan,26,617,2000
36,Mercedes-Benz,30,regular,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,sedan,25,617,2000
37,Mercedes-Benz,29,regular,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,sedan,25,617,2000
38,Mercedes-Benz,29,regular,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,sedan,26,617,2000
39,Mercedes-Benz,28,regular,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,sedan,26,617,2000
40,Mercedes-Benz,28,regular,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,sedan,25,617,2000
41,BMW,5,premium,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,coupe,35,3916,32850
42,BMW,5,premium,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,convertible,34,3916,38650
43,BMW,5,premium,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,convertible,31,3916,48750
44,BMW,5,premium,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,coupe,35,3916,34850
45,BMW,5,premium,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,convertible,34,3916,40650
46,BMW,5,premium,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,coupe,31,3916,44150
47,BMW,5,premium,240.0,4.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,coupe,34,3916,32850
48,BMW,5,premium,320.0,6.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,coupe,30,3916,46150
49,BMW,5,premium,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,convertible,30,3916,50750
50,BMW,4,premium,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,coupe,31,3916,46450
51,BMW,4,premium,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,convertible,32,3916,49050
52,BMW,4,premium,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,convertible,32,3916,51050
53,BMW,4,premium,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,coupe,32,3916,44450
54,BMW,4,premium,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,convertible,34,3916,38950
55,BMW,4,premium,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,coupe,35,3916,33150
56,BMW,4,premium,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,coupe,33,3916,35150
57,BMW,4,premium,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,convertible,33,3916,40950
58,Audi,31,regular,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,sedan,20,3105,2000
59,Audi,31,regular,162.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,wagon,22,3105,2000
60,Audi,31,regular,162.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,sedan,23,3105,2000
61,Audi,30,regular,217.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,sedan,22,3105,2000
62,Audi,30,regular,217.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,wagon,22,3105,2000
63,Audi,30,regular,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,sedan,20,3105,2000
64,Chrysler,6,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,25170
65,Chrysler,6,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,23950
66,Chrysler,6,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,29,1013,29370
67,Chrysler,6,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,21995
68,Chrysler,6,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,26625
69,Chrysler,6,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,29,1013,30825
70,Chrysler,5,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,21995
71,Chrysler,5,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,27795
72,Chrysler,5,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,29,1013,31785
73,Chrysler,5,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,29,1013,29905
74,Chrysler,5,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,22490
75,Chrysler,5,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,27570
76,Chrysler,5,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,25690
77,Chrysler,5,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,24490
78,Chrysler,4,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,28,1013,29905
79,Chrysler,4,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,28,1013,31785
80,Chrysler,4,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,26685
81,Chrysler,4,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,22490
82,Chrysler,4,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,25690
83,Chrysler,4,flex-fuel,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Other,Midsize,sedan,28,1013,30900
84,Chrysler,4,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,27795
85,Chrysler,4,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,21995
86,Chrysler,4,flex-fuel,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Other,Midsize,sedan,36,1013,24490
87,Nissan,25,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Unknown,Compact,coupe,36,2009,2000
88,Nissan,25,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Unknown,Compact,coupe,36,2009,2000
89,Nissan,25,regular,140.0,4.0,MANUAL,front wheel drive,2.0,Other,Compact,coupe,29,2009,2000
90,Nissan,24,regular,140.0,4.0,MANUAL,front wheel drive,2.0,Other,Compact,coupe,29,2009,2000
91,Nissan,24,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Unknown,Compact,coupe,35,2009,2000
92,Nissan,24,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Unknown,Compact,coupe,35,2009,2000
93,Nissan,23,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Unknown,Compact,coupe,35,2009,2000
94,Nissan,23,regular,115.0,4.0,MANUAL,front wheel drive,2.0,Unknown,Compact,coupe,35,2009,2000
95,Nissan,23,regular,140.0,4.0,MANUAL,front wheel drive,2.0,Other,Compact,coupe,28,2009,2073
96,Nissan,25,regular,155.0,4.0,MANUAL,rear wheel drive,2.0,Other,Compact,coupe,26,2009,3713
